id,entry_time_bjt,exit_time_bjt,symbol,side,quantity,entry_price,exit_price,stop_price,result,gross_pnl_usdt,costs_usdt,net_pnl_usdt,account_impact,trade_score,core_conclusion,success_failure_reason,next_avoidance
T001,2026-05-28 22:55:33,2026-05-29 00:18:24,HYPEUSDT,SHORT,0.17,57.30,58.00,58.00,失败但风控执行,-0.1190,-0.0064,-0.1254,约-0.63%,6/10,亏损但流程合格：小仓测试，保护止损有效，退出干净；主要问题是逆强势币过早做空。,止损执行有效且亏损小；失败点是没有等到15m结构跌破和反抽失败，就提前做空强势币。,不要过早做空强势币；必须等15m结构跌破，反抽失败，并最好有BTC弱势配合。
T002,2026-05-29 11:25:03,2026-05-29 11:31:05,HYPEUSDT,LONG,0.17,62.012,61.673,61.70,失败但风控合格,-0.05763,-0.01051322,-0.06814322,约-0.34%,7/10,HYPE确实修复并冲上62，但入场偏追，62上方没有站稳就回落，属于突破确认不足的小仓试错。,成功点是等待HYPE站回61.50后才考虑多并提前挂好止损；失败点是没等61.85-61.90回踩守住，止损贴得太近被正常波动扫掉。,突破单必须等5m收在关键位上方并回踩不破；如果追高，止损不能贴太近，或等回踩确认后再进。
T003,2026-05-29 16:28:53,2026-05-29 16:46:10,HYPEUSDT,LONG,0.17,63.139,62.770,62.78,失败但风控有效,-0.06273000,-0.01070226,-0.07343226,约-0.37%,5/10,HYPE大方向仍强，但这笔是冲高回落后的反抽试多，没等5m重新站稳63.10/63.20，也没有突破63.34确认。,失败原因是把1m拉回当作5m修复；前一根5m已从63.341回落到62.879，假突破后买盘并不稳。,HYPE后续只做两类单：5m收上关键突破位且回踩不破，或深回踩后放量止跌；不再在反抽半途追。
T004,2026-05-29 14:18:08,2026-05-29 18:24:11,TURBOUSDT,LONG,8000,0.0010761,0.0010752,0.0010766,保本附近失败,-0.00720000,-0.00808930,-0.01528930,接近零风险退出,6/10,TURBO方向一度正确，最高浮盈超过0.24U，后续把止损从原始风险位上移到保本附近，最终回落触发保护。,成功点是及时降低风险，避免盈利单变成大亏；不足是放量冲高后没有进一步上移止损锁定利润，导致盈利回吐。,浮盈达到1.5R或突破后不能继续站稳时，止损分两步上移：先到保本，再到前一根5m低点或关键突破位下方。
T005,2026-05-29 21:59:10,2026-05-29 22:07:09,HYPEUSDT,LONG,0.17,62.878,62.424,62.50,失败但风控执行,-0.07718000,-0.01065067,-0.08783067,约-0.44%,5/10,HYPE 5m确实收回62.80上方，但没有继续站稳；BTC仍三周期强空，强势币修复试多很快失败。,失败原因是把一次5m收回62.80当作足够确认，但没等63.10二次确认；同时BTC持续走弱，HYPE被大盘拖回。,BTC三周期强空时，HYPE多单必须两步确认：先5m收回关键位，再站稳更高确认位或回踩不破。
T006,2026-05-29 22:16:40,2026-05-29 22:25:39,HYPEUSDT,LONG,0.17,63.450,62.908,62.95,失败但风控执行,-0.09214000,-0.01074043,-0.10288043,约-0.52%,6/10,HYPE完成两步确认后突破追多，一度浮盈约0.05U，但BTC三周期强空继续加速下跌，HYPE没能守住入场区。,失败原因不是没有确认，而是确认后浮盈接近目标时没有及时上移止损；同时BTC环境太弱，突破追随单扛不住大盘下压。,BTC三周期强空时，HYPE突破多如果浮盈达到约0.05U或接近第一目标但未继续突破，必须主动评估上移保护。
T007,2026-05-30 09:32:33,2026-05-30 12:07:01,HYPEUSDT,LONG,0.17,65.640,64.697,64.84,失败,-0.16031000,0.01124311,-0.17155311,小仓测试亏损且止损滑点,45,HYPE仍是1h/4h强势币，但BTC从修复转为三周期走弱；入场靠近压力区，后续没有重新收回确认位。,失败原因是66.04没有重新站稳，65.64入场位也没有被重新收回；BTC转弱后触发保护止损，并从64.84滑到64.697成交。,止损后不要马上重进；HYPE多单必须等BTC不再三周期强空，并且重新收回确认位，或深回踩出现吸收再做。
T008,2026-05-30 22:15:47,2026-05-30 22:43:05,MEMEUSDT,LONG,9200,0.0005520,0.0005570,0.000558,盈利但保护过早,0.04600000,0.00510140,0.04089860,小盈利但过早下车,7/10,MEME第一次开单没有问题：方向和动量选择正确，抓到了强势meme启动；唯一问题是止损上移太快。,当时MEME涨得快，正常会回抽；我们太乐观，把止损直接抬进正常回抽区，导致趋势没坏就被洗下车，非常可惜。,快速上涨的meme盈利单不要过早把止损推进1m回抽区；先保护到成本附近，后续必须等5m更高低点或关键位确认后再跟踪。
T009,2026-05-30 23:03:26,2026-05-30 23:09:07,MEMEUSDT,LONG,9200,0.0005578,0.0005439,0.000545,失败止损,-0.12788000,0.00506781,-0.13294781,2x杠杆，约5.13U名义仓位，约2.56U保证金；按新规则以后默认约5U保证金,53,MEME第二次开单太快，太不谨慎，也太乐观；这只是第一次下车后的弱反抽，不是真正重新转强。,失败原因是把0.000545-0.000555区间的短暂停顿当成稳住，没有等0.000558/0.000565重新站稳；止损执行了风控，但成交滑到0.0005439。,MEME被洗出后再上车必须等1m/3m收回EMA且站稳0.000558，或站上0.000565后回踩不破；弱反抽和低量混合结构不再立刻追。
T010,2026-05-30 14:36:34,2026-05-31 06:37:13,HYPEUSDT,LONG,0.17,65.695,66.794,66.80,盈利但强势币过早保护下车,0.18683000,0.01126156,0.17556844,2x杠杆，约11.17U名义仓位，约5.58U保证金；保护盈利成功但错过后续修复,8/10,HYPE方向判断正确，作为Perp龙头仍然强势；这笔通过上移止损保护住盈利，但止损放在短线正常回踩区，趋势没有真正坏就被甩下车。,成功点是没有让盈利回吐成亏损；不足是对强趋势币只用单一紧止损保护，没有给结构回踩空间，也没有设计分批保护或重新上车条件。,HYPE这类强势币浮盈后不只看1m/5m低点，优先用15m结构止损、分批保护或回踩重入计划；被保护下车后，若重新站回67.60/67.85并回踩不破，可按新结构重新试多。
